"Date","Price","Open","High","Low","Vol.","Change %"
"09/24/2018","413.83","415.36","419.37","412.71","","-0.25%"
"09/19/2018","414.87","415.63","417.18","412.49","","-0.14%"
"09/18/2018","415.44","409.07","416.40","406.77","","1.67%"
"09/17/2018","408.63","413.51","413.51","405.85","","-1.29%"
"09/14/2018","413.97","415.81","418.28","410.49","","-0.33%"
"09/13/2018","415.33","409.14","416.40","406.28","","1.37%"
"09/12/2018","409.70","414.01","415.76","408.68","","-1.13%"
"09/11/2018","414.38","415.32","418.39","412.68","","-0.25%"
"09/10/2018","415.42","418.90","422.48","413.46","","-0.93%"
"09/07/2018","419.31","424.99","425.97","418.15","","-1.30%"
"09/06/2018","424.82","424.48","428.05","422.83","","0.06%"
"09/05/2018","424.57","425.43","425.75","422.57","","-0.22%"
"09/04/2018","425.49","423.35","426.09","422.69","","0.70%"
"09/03/2018","422.53","424.01","424.29","419.48","","-0.27%"
"08/31/2018","423.68","428.03","429.79","422.79","","-0.96%"
"08/30/2018","427.79","433.11","433.92","426.84","","-1.16%"
"08/29/2018","432.83","436.69","436.87","432.13","","-0.79%"
"08/28/2018","436.26","436.41","437.89","435.53","","-0.02%"
"08/27/2018","436.36","434.07","437.64","433.62","","0.58%"
"08/24/2018","433.83","433.51","434.99","430.80","","0.20%"
"08/20/2018","432.95","431.88","435.56","431.88","","0.35%"
"08/17/2018","431.43","427.21","433.15","426.74","","1.10%"
"08/16/2018","426.74","432.71","433.71","425.50","","-1.58%"
"08/15/2018","433.58","433.94","435.68","432.18","","-0.21%"
"08/13/2018","434.51","437.49","437.69","432.26","","-0.84%"
"08/10/2018","438.20","436.53","440.84","436.25","","0.41%"
"08/09/2018","436.43","436.29","437.74","434.12","","0.14%"
"08/08/2018","435.84","437.12","439.55","434.98","","-0.14%"
"08/07/2018","436.46","438.25","441.43","434.74","","-0.30%"
"08/06/2018","437.79","434.66","438.60","433.22","","0.81%"
"08/03/2018","434.27","435.26","435.48","428.23","","-0.42%"
"08/02/2018","436.12","450.14","451.06","435.74","","-3.00%"
"08/01/2018","449.60","450.53","454.18","445.83","","-0.34%"
"07/31/2018","451.15","467.59","468.20","449.69","","-3.55%"
"07/30/2018","467.76","464.80","469.90","464.31","","1.49%"
"07/27/2018","460.90","449.16","462.22","448.12","","2.52%"
"07/26/2018","449.58","449.92","450.24","443.82","","2.13%"
"07/24/2018","440.21","432.15","442.00","432.15","","1.99%"
"07/23/2018","431.60","440.61","440.95","430.45","","-2.14%"
"07/20/2018","441.03","447.52","447.65","438.67","","-1.51%"
"07/19/2018","447.79","440.24","449.11","440.24","","2.82%"
"07/18/2018","435.52","423.59","437.34","423.59","","2.95%"
"07/17/2018","423.06","419.10","424.50","415.43","","0.66%"
"07/16/2018","420.28","432.13","433.20","414.17","","-1.37%"
"07/13/2018","426.13","413.11","428.76","413.11","","2.98%"
"07/12/2018","413.80","412.50","415.68","406.78","","0.32%"
"07/11/2018","412.50","413.80","418.48","408.93","","-0.14%"
